District,Region,Elevator,Floor,Id,Layout,Price,Renovation,Size,Year
青羊,东南,无,高楼层 (共7层),106102730444,3室1厅,80,简装,75.7㎡,未知年建
青羊,北,有,低楼层 (共6层),106103299301,2室1厅,200,精装,57㎡,2011年建
青羊,北,有,低楼层 (共18层),106104672632,4室2厅,200,简装,142㎡,2012年建
青羊,东南,无,低楼层 (共7层),106101304931,2室1厅,139,毛坯,93.3㎡,2000年建
青羊,南,无,低楼层 (共8层),106104582940,2室2厅,130,其他,85.28㎡,1999年建
青羊,西北,有,高楼层 (共11层),106105128499,3室2厅,300,精装,153㎡,2006年建
青羊,北,有,高楼层 (共9层),106103931226,1室1厅,75,精装,50.29㎡,2003年建
青羊,东南,无,中楼层 (共4层),106105087093,3室2厅,750,其他,161.44㎡,2006年建
青羊,东南,有,高楼层 (共14层),106105113936,1室0厅,60,精装,42.49㎡,2005年建
青羊,南,有,低楼层 (共6层),106103900797,1室1厅,185,精装,57.23㎡,2011年建
青羊,东,有,低楼层 (共10层),106104997450,2室1厅,98,其他,41.96㎡,2003年建
青羊,北,有,低楼层 (共18层),106104365607,2室1厅,179,毛坯,86.71㎡,2007年建
青羊,东南,无,中楼层 (共6层),106103238453,1室1厅,77.8,简装,48.3㎡,2000年建
青羊,东 西,有,中楼层 (共18层),106104546588,2室2厅,112,简装,83㎡,2012年建
青羊,北,有,中楼层 (共14层),106105219802,2室1厅,75,其他,55.43㎡,2005年建
青羊,东,无,低楼层 (共2层),106102843951,2室1厅,72,毛坯,64.68㎡,2000年建
青羊,东,有,低楼层 (共15层),106104477611,2室1厅,180,简装,100.65㎡,2003年建
青羊,南,有,高楼层 (共53层),106105077290,2室1厅,300,其他,101.11㎡,2016年建
青羊,南,无,高楼层 (共6层),106105079132,3室1厅,160,简装,81.7㎡,未知年建
青羊,东南,有,低楼层 (共38层),106105297844,3室1厅,280,其他,90.27㎡,2011年建
青羊,西,有,高楼层 (共20层),106103897476,2室1厅,103,精装,81.65㎡,2010年建
青羊,南 北,有,低楼层 (共23层),106104994354,1室0厅,85,精装,47.2㎡,2004年建
青羊,南,无,高楼层 (共6层),106104323130,2室2厅,136,简装,74.16㎡,2003年建
青羊,南,无,低楼层 (共7层),106102692276,3室1厅,186,精装,135.6㎡,2000年建
青羊,南,无,高楼层 (共7层),106103136772,2室1厅,95,简装,78.06㎡,1995年建
青羊,东南,有,中楼层 (共18层),106102537098,2室2厅,181,毛坯,87㎡,2010年建
青羊,南,有,中楼层 (共32层),106105201461,1室1厅,166,简装,67.76㎡,2009年建
青羊,西北,有,中楼层 (共26层),106104471608,2室1厅,238,精装,89.48㎡,2014年建
青羊,南,无,中楼层 (共6层),106105072321,3室1厅,240,简装,66.38㎡,未知年建
青羊,东,有,低楼层 (共10层),106103841956,2室2厅,199,精装,98.9㎡,2001年建
青羊,北,有,中楼层 (共11层),106105074800,3室1厅,170,精装,95.89㎡,2006年建
青羊,南,无,高楼层 (共6层),106105283455,2室1厅,210,其他,72㎡,未知年建
青羊,东,有,低楼层 (共11层),106105099105,2室1厅,107,精装,86.27㎡,2009年建
青羊,东南,无,中楼层 (共7层),106104972457,1室1厅,72,精装,45.01㎡,2002年建
