区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
高新西,东南,有,低楼层 (共27层),106104721919,4室1厅,96.5,精装,89.83㎡,2008年建
武侯,西,有,高楼层 (共17层),106104889308,2室1厅,90,精装,62.48㎡,2009年建
高新,南,有,低楼层 (共18层),106104886883,2室2厅,175,简装,87.79㎡,2011年建
成华,西北,有,中楼层 (共32层),106104885066,2室1厅,115,精装,60.42㎡,2015年建
高新,北,有,高楼层 (共39层),106104881291,2室2厅,139.5,精装,72.51㎡,2016年建
锦江,西南,有,中楼层 (共34层),106104880647,2室2厅,152,精装,74.68㎡,2009年建
郫都,西南,有,高楼层 (共16层),106104871358,1室1厅,63,精装,52.89㎡,2009年建
双流,东,有,中楼层 (共26层),106104868198,2室1厅,111.8,简装,81.43㎡,未知年建
双流,西,有,高楼层 (共26层),106104866853,2室2厅,125,精装,75㎡,2014年建
龙泉驿,东南,有,中楼层 (共11层),106104864689,2室1厅,74,简装,64.87㎡,2015年建
天府新区,北,有,低楼层 (共26层),106104862331,2室1厅,133.6,精装,70.43㎡,2010年建
武侯,东 西,有,中楼层 (共16层),106104862209,2室2厅,158,简装,88.95㎡,2006年建
成华,西南,有,高楼层 (共17层),106104857880,1室1厅,105,精装,50.85㎡,2014年建
新都,东,有,中楼层 (共27层),106104854670,2室2厅,85,精装,66.55㎡,未知年建
青羊,西,有,高楼层 (共11层),106104854459,1室1厅,61,精装,35.84㎡,2004年建
成华,南,无,中楼层 (共7层),106104854292,2室1厅,53,简装,54.79㎡,未知年建
金牛,西南,无,高楼层 (共6层),106104852350,2室2厅,60.8,简装,66.21㎡,1990年建
锦江,西,有,中楼层 (共31层),106104850287,1室0厅,137.8,精装,40.62㎡,2012年建
青羊,西北,有,中楼层 (共27层),106104848809,2室1厅,220,精装,89.08㎡,2010年建
郫都,北,有,中楼层 (共33层),106104845525,2室1厅,88,精装,77.23㎡,2013年建
锦江,西南,有,高楼层 (共33层),106104844118,2室1厅,128,简装,78.99㎡,2008年建
双流,北,有,中楼层 (共15层),106104841894,2室1厅,62,简装,52.79㎡,2008年建
新都,西南,有,高楼层 (共18层),106104841606,2室2厅,80.1,精装,68.52㎡,2012年建
青羊,东南,有,中楼层 (共21层),106104838388,1室1厅,64.5,简装,50.48㎡,2010年建
温江,东南,有,高楼层 (共33层),106104837656,2室2厅,100,精装,71.66㎡,2012年建
青白江,东南,有,中楼层 (共18层),106104835651,2室2厅,66,精装,86.43㎡,未知年建
成华,西南,有,中楼层 (共27层),106104834998,1室1厅,92,简装,46.29㎡,2015年建
锦江,南,有,低楼层 (共34层),106104832998,2室1厅,195,精装,82.89㎡,2009年建
金堂,南,暂无数据,中楼层 (共24层),106104940499,2室1厅,48,精装,68.59㎡,未知年建
金牛,东南,有,中楼层 (共26层),106104938203,2室2厅,119,精装,88.72㎡,2009年建
武侯,东北,无,中楼层 (共6层),106104936817,2室1厅,74,简装,54.48㎡,1983年建
郫都,东南,有,中楼层 (共26层),106104936498,2室1厅,72,精装,53.81㎡,2013年建
金牛,东南,无,中楼层 (共7层),106104933809,2室1厅,96,简装,80.87㎡,2000年建
成华,南 北,有,中楼层 (共11层),106104931530,2室1厅,110,简装,70.02㎡,2001年建
龙泉驿,东南,有,中楼层 (共34层),106104930659,2室2厅,125,简装,83.15㎡,2012年建
新都,东南,有,中楼层 (共34层),106104929224,2室2厅,60,简装,73.86㎡,未知年建
金牛,东,无,中楼层 (共6层),106104927935,1室2厅,72,精装,60.69㎡,2001年建
成华,南,有,低楼层 (共20层),106104927454,2室2厅,142,简装,78.24㎡,2014年建
成华,东,有,低楼层 (共28层),106104921225,2室1厅,78,毛坯,64.91㎡,2009年建
高新,南,有,低楼层 (共32层),106104919398,2室2厅,153.8,毛坯,73.48㎡,2016年建
金牛,东,无,低楼层 (共6层),106104919078,2室1厅,79,简装,76.16㎡,2009年建
高新,东,有,高楼层 (共13层),106104918839,2室2厅,138,精装,88.52㎡,2004年建
青羊,西南,有,中楼层 (共15层),106104912992,2室1厅,125,精装,58.23㎡,2014年建
温江,东南,有,中楼层 (共28层),106104912306,2室1厅,59.8,简装,63.16㎡,2009年建
成华,西南,有,高楼层 (共14层),106104909675,2室0厅,75,简装,67.25㎡,2008年建
郫都,东北,有,中楼层 (共17层),106104908276,2室1厅,96,精装,83.45㎡,2010年建
新都,东,有,中楼层 (共18层),106104907817,2室1厅,75,简装,76.71㎡,2012年建
郫都,东南,有,高楼层 (共26层),106104905166,2室1厅,64.8,精装,53.91㎡,2013年建
新都,东,有,高楼层 (共26层),106104904055,2室1厅,58,精装,51.62㎡,2012年建
龙泉驿,东,有,高楼层 (共24层),106104900999,1室1厅,54.9,精装,45.33㎡,2016年建
龙泉驿,南,有,中楼层 (共11层),106104900946,2室1厅,115,精装,92.3㎡,2012年建
郫都,东南,无,中楼层 (共5层),106104899313,2室2厅,59.8,简装,86.9㎡,2009年建
成华,西南,无,中楼层 (共7层),106104898721,2室1厅,93.8,精装,84.77㎡,2003年建
温江,南,有,中楼层 (共33层),106104895224,2室1厅,92.5,毛坯,87.97㎡,2014年建
成华,东南,有,低楼层 (共26层),106105038874,2室1厅,103,精装,63.04㎡,未知年建
新都,南,有,中楼层 (共26层),106105022177,3室1厅,100,精装,89.58㎡,2016年建
金牛,东北,有,中楼层 (共33层),106102018540,3室1厅,215,毛坯,96.52㎡,2015年建
龙泉驿,东南,有,高楼层 (共31层),106105109776,1室1厅,85,精装,49.73㎡,未知年建
高新,东北,有,中楼层 (共11层),106105016864,2室1厅,106,精装,69.94㎡,2007年建
锦江,西南,有,低楼层 (共16层),106104531959,3室2厅,260,简装,107.61㎡,2009年建
郫都,南 北,有,中楼层 (共25层),106105182542,3室2厅,138,精装,86.52㎡,2016年建
天府新区,东,有,高楼层 (共31层),106100901963,3室1厅,178,精装,100.25㎡,2012年建
锦江,南,有,中楼层 (共34层),106104649793,2室2厅,150,精装,79.32㎡,2011年建
青羊,西,有,中楼层 (共21层),106104074905,3室2厅,129.3,简装,83.85㎡,2010年建
温江,东南,有,中楼层 (共26层),106105223649,3室1厅,107,精装,92.69㎡,2014年建
成华,南,有,中楼层 (共34层),106104628275,3室1厅,126,精装,74.78㎡,2015年建
锦江,北,有,高楼层 (共34层),106105235294,2室1厅,118,简装,77.89㎡,未知年建
青羊,西北,有,中楼层 (共20层),106105207113,3室2厅,246,毛坯,102.49㎡,未知年建
青羊,南,有,中楼层 (共32层),106105209443,2室1厅,148,简装,74.06㎡,2009年建
天府新区,南,有,中楼层 (共32层),106105148306,3室2厅,194,毛坯,107.4㎡,未知年建
新都,北,有,中楼层 (共26层),106105167420,3室2厅,112,精装,92.96㎡,2008年建
温江,东北,有,高楼层 (共34层),106105134774,3室2厅,115.5,精装,76.31㎡,2017年建
新都,西,有,高楼层 (共18层),106104987171,3室1厅,128,精装,86.29㎡,2015年建
郫都,东南,有,中楼层 (共18层),106104985585,3室1厅,106.8,精装,92.07㎡,2011年建
锦江,西南,有,高楼层 (共34层),106104983598,2室1厅,123,精装,70.81㎡,2011年建
武侯,南,有,高楼层 (共11层),106104979496,3室2厅,220,精装,114.61㎡,2002年建
温江,西南,有,高楼层 (共18层),106104978613,3室1厅,85,精装,85.89㎡,2009年建
天府新区,南,有,高楼层 (共33层),106104978292,3室2厅,194,精装,86.68㎡,2016年建
郫都,东南,有,高楼层 (共27层),106104977931,4室1厅,77,简装,85.54㎡,2008年建
新都,南,无,高楼层 (共6层),106104977349,3室2厅,82.8,简装,108.45㎡,2002年建
锦江,西北,有,中楼层 (共34层),106104975458,2室1厅,82.8,简装,47.2㎡,2011年建
锦江,东南,有,低楼层 (共34层),106104972485,2室1厅,96,精装,58.42㎡,2011年建
成华,西,有,中楼层 (共27层),106104971769,3室2厅,205,精装,119.14㎡,2009年建
简阳,东,有,中楼层 (共27层),106105169605,3室2厅,114.8,精装,87㎡,未知年建
新都,东南,有,中楼层 (共26层),106104971717,4室2厅,140.6,毛坯,131.77㎡,2009年建
青羊,西,有,中楼层 (共22层),106105168331,3室2厅,158,精装,73.67㎡,2015年建
郫都,南,有,高楼层 (共16层),106104969444,1室1厅,87.6,精装,56.12㎡,2011年建
金牛,北,有,高楼层 (共33层),106105168075,3室2厅,116.5,毛坯,86㎡,未知年建
郫都,西南,有,中楼层 (共18层),106104968256,3室2厅,79,精装,90.32㎡,2009年建
成华,东南,有,中楼层 (共30层),106105167162,2室1厅,132,简装,66.55㎡,2014年建
新都,东,暂无数据,高楼层 (共6层),106104957681,3室2厅,70,精装,127.69㎡,未知年建
武侯,东南,有,中楼层 (共12层),106105163799,2室1厅,63,简装,42.35㎡,2001年建
温江,南,有,中楼层 (共33层),106104955418,2室2厅,102,精装,71.66㎡,2012年建
武侯,南,有,中楼层 (共10层),106105162107,2室2厅,97,简装,77.36㎡,2005年建
郫都,西南,有,低楼层 (共18层),106104952146,2室1厅,106,精装,84.32㎡,2015年建
武侯,西,无,高楼层 (共6层),106105160792,2室1厅,95,简装,77.1㎡,2005年建
成华,西北,有,低楼层 (共16层),106104946796,3室2厅,182,精装,93.72㎡,2014年建
新都,北,有,低楼层 (共30层),106105195109,3室1厅,73,毛坯,63.53㎡,2016年建
温江,西南,有,低楼层 (共31层),106105159878,3室2厅,133,精装,88.08㎡,2018年建
都江堰,西南,有,高楼层 (共11层),106105194372,3室2厅,83,毛坯,100㎡,未知年建
天府新区,南,有,中楼层 (共32层),106104946039,5室2厅,345,精装,188.09㎡,2013年建
锦江,东南,无,低楼层 (共7层),106105157464,3室1厅,112.6,简装,78.03㎡,2002年建
金牛,西南,有,中楼层 (共31层),106104945033,3室1厅,178,精装,87.11㎡,2012年建
武侯,南,无,高楼层 (共7层),106105194023,2室1厅,88,简装,79.94㎡,2000年建
郫都,东南,有,低楼层 (共31层),106104944330,3室2厅,139,精装,87.92㎡,2015年建
郫都,东南,有,中楼层 (共33层),106105157216,3室1厅,75,毛坯,71.82㎡,2018年建
成华,西,有,低楼层 (共28层),106105192808,3室2厅,130,精装,86.59㎡,未知年建
温江,东,有,中楼层 (共34层),106104941661,2室2厅,90.5,精装,65.36㎡,2014年建
龙泉驿,东南,有,高楼层 (共33层),106105192168,3室1厅,100.8,简装,86㎡,2018年建
武侯,南,无,低楼层 (共8层),106104941121,2室1厅,63,简装,56.11㎡,1999年建
天府新区,南,有,中楼层 (共33层),106105154828,3室1厅,184,精装,86.62㎡,2018年建
温江,东,有,中楼层 (共31层),106105191303,3室1厅,115,简装,83.12㎡,2017年建
武侯,东,有,高楼层 (共13层),106104940700,2室1厅,120,精装,76.09㎡,2012年建
金牛,东南,无,高楼层 (共7层),106105154779,3室2厅,174.6,精装,137.09㎡,1999年建
温江,西北,有,中楼层 (共33层),106105191147,3室1厅,134,简装,84.69㎡,2012年建
成华,南 北,有,高楼层 (共18层),106104938908,3室2厅,140,精装,87.14㎡,2011年建
成华,南,有,低楼层 (共28层),106105154757,2室2厅,106,简装,75.75㎡,未知年建
温江,西南,有,高楼层 (共18层),106105190684,3室1厅,85,简装,85.68㎡,2009年建
成华,西,有,中楼层 (共18层),106104938529,2室1厅,146,精装,82.18㎡,2008年建
高新,西,有,中楼层 (共31层),106105153485,2室1厅,126,简装,77.96㎡,2011年建
成华,北,有,中楼层 (共32层),106105190472,4室2厅,255,精装,127㎡,2015年建
郫都,东南,有,高楼层 (共18层),106104937607,3室1厅,101,简装,92.35㎡,2011年建
高新西,东南,有,高楼层 (共25层),106105153420,2室1厅,56,精装,64.1㎡,2008年建
龙泉驿,东南 西南,无,中楼层 (共6层),106105189962,4室2厅,119.8,精装,145㎡,未知年建
成华,东,有,高楼层 (共28层),106104932372,3室2厅,178,精装,108.48㎡,2009年建
双流,西北,无,中楼层 (共5层),106105151687,3室2厅,110,简装,125.83㎡,2015年建
高新,南,有,低楼层 (共27层),106105189566,3室2厅,325,简装,124.14㎡,2013年建
新都,东南,有,高楼层 (共33层),106105151213,3室1厅,108,精装,78.61㎡,未知年建
青羊,南,有,中楼层 (共20层),106104929441,3室1厅,168.6,简装,74.66㎡,2015年建
天府新区,东,有,中楼层 (共31层),106105189382,3室1厅,116,精装,98.57㎡,未知年建
成华,南,无,低楼层 (共6层),106105150303,3室2厅,102,毛坯,93.29㎡,2005年建
郫都,东南,有,中楼层 (共24层),106105187808,3室1厅,70.8,精装,66.9㎡,未知年建
双流,西南,暂无数据,中楼层 (共5层),106105150143,3室2厅,86,简装,102.11㎡,未知年建
郫都,东南,有,中楼层 (共29层),106105187748,3室1厅,148,精装,91.25㎡,2015年建
郫都,西南,有,中楼层 (共34层),106105187544,3室2厅,83,精装,66.78㎡,2017年建
新都,南,有,中楼层 (共15层),106105145324,3室2厅,115,简装,103.43㎡,2016年建
金牛,西北,有,中楼层 (共18层),106105221016,2室2厅,118,毛坯,76.72㎡,2017年建
成华,东南,无,中楼层 (共6层),106105185401,3室1厅,91,毛坯,96.13㎡,2008年建
成华,西,有,高楼层 (共25层),106105144861,3室1厅,130,简装,72㎡,2016年建
青羊,东北,有,中楼层 (共30层),106105220269,1室1厅,105,简装,47.92㎡,2003年建
金牛,东南,有,中楼层 (共16层),106105184579,3室1厅,158,精装,88.88㎡,2013年建
新都,南,有,低楼层 (共24层),106105144068,3室2厅,63,精装,71.88㎡,未知年建
高新西,东南,有,高楼层 (共28层),106105184421,3室2厅,96,精装,73.28㎡,2015年建
天府新区,西,有,中楼层 (共29层),106105215723,2室1厅,121,精装,58.52㎡,2013年建
都江堰,西南,有,低楼层 (共11层),106105140422,3室1厅,69.8,精装,85㎡,未知年建
新都,北,有,高楼层 (共32层),106105184318,3室2厅,120,毛坯,112.52㎡,未知年建
青羊,北,有,中楼层 (共8层),106105215714,1室0厅,67,简装,31.1㎡,2004年建
高新西,东南,有,低楼层 (共10层),106105139742,3室1厅,110,简装,109.89㎡,2010年建
新都,南,有,中楼层 (共31层),106105184315,4室2厅,162,毛坯,132㎡,未知年建
成华,西南,有,中楼层 (共15层),106105215260,2室1厅,106.9,简装,66㎡,2010年建
龙泉驿,东,有,低楼层 (共32层),106105139170,3室2厅,97,精装,100.28㎡,2017年建
青羊,北,有,中楼层 (共24层),106105184248,3室1厅,195,精装,94.14㎡,2012年建
锦江,东南,有,中楼层 (共32层),106105137889,3室1厅,158,精装,81.02㎡,2015年建
青羊,东,有,中楼层 (共22层),106105212785,2室1厅,110,简装,52.65㎡,2015年建
高新,北,有,高楼层 (共39层),106105183756,3室2厅,170,毛坯,87.37㎡,2016年建
成华,南,无,中楼层 (共7层),106105210766,2室1厅,68,毛坯,51.45㎡,1990年建
龙泉驿,南 北,无,中楼层 (共6层),106105135613,3室2厅,189,毛坯,110.46㎡,2013年建
武侯,南,有,低楼层 (共17层),106103818481,4室2厅,268,精装,125.07㎡,2013年建
武侯,南,有,中楼层 (共8层),106105180294,1室1厅,105,精装,53.83㎡,2010年建
高新西,东南 西南,有,中楼层 (共29层),106105209513,2室1厅,82,精装,78㎡,2016年建
新都,南,无,低楼层 (共6层),106103696473,3室2厅,109,精装,120.96㎡,2007年建
成华,东南,有,高楼层 (共34层),106105178562,3室2厅,138,精装,77.63㎡,2016年建
龙泉驿,西南,有,高楼层 (共32层),106105177206,3室1厅,133,简装,92.72㎡,2011年建
郫都,西南,有,高楼层 (共34层),106103578310,3室1厅,135,精装,79.07㎡,2013年建
温江,东,有,高楼层 (共27层),106105209245,3室1厅,109,精装,83.1㎡,2014年建
锦江,东南,有,低楼层 (共39层),106105177012,3室2厅,200,毛坯,88.91㎡,2015年建
青羊,南,有,中楼层 (共29层),106105209071,2室1厅,121,精装,64.11㎡,2012年建
武侯,东南 南,无,高楼层 (共7层),106103363409,1室1厅,84.9,简装,50.48㎡,2000年建
高新西,东北,有,低楼层 (共17层),106105176885,2室1厅,118,精装,79㎡,2007年建
成华,东,有,高楼层 (共33层),106105208441,3室1厅,117,精装,65.4㎡,2016年建
锦江,东南,无,低楼层 (共7层),106103287857,3室1厅,127,简装,86.98㎡,未知年建
温江,东南,有,高楼层 (共31层),106105172312,3室1厅,105,精装,87.03㎡,2016年建
温江,东南,有,中楼层 (共34层),106105208039,3室2厅,114,简装,88.65㎡,2018年建
武侯,南,有,高楼层 (共16层),106102800131,2室1厅,150,精装,81.12㎡,2013年建
高新,西南,无,中楼层 (共6层),106105171980,2室2厅,148,简装,91.18㎡,2004年建
温江,东北,有,中楼层 (共34层),106102879544,3室2厅,112.5,精装,76.54㎡,2016年建
都江堰,南,有,高楼层 (共18层),106105207230,3室2厅,97.5,毛坯,111.4㎡,未知年建
青白江,南 西南,有,低楼层 (共26层),106105170497,3室2厅,96,精装,117.6㎡,2014年建
青羊,西北,有,中楼层 (共19层),106105207218,3室2厅,246,毛坯,102.53㎡,2016年建
成华,东南,有,中楼层 (共42层),106105123929,3室2厅,130,精装,79㎡,2016年建
郫都,东南,有,低楼层 (共22层),106105207166,3室1厅,101,精装,84㎡,2015年建
锦江,东南,暂无数据,高楼层 (共6层),106105042151,3室1厅,185,简装,81㎡,1995年建
青羊,西北,有,中楼层 (共30层),106105272562,1室1厅,95,简装,48.11㎡,2003年建
温江,东南,暂无数据,低楼层 (共3层),106105206184,3室1厅,58.5,精装,75.28㎡,未知年建
青羊,南,无,低楼层 (共6层),106105265692,2室1厅,89,简装,69㎡,1965年建
武侯,北,有,低楼层 (共34层),106105205072,3室2厅,196,精装,82.13㎡,2015年建
双流,南,有,中楼层 (共14层),106105261603,2室1厅,115,精装,73.58㎡,2014年建
青羊,东南,无,中楼层 (共7层),106105204755,3室1厅,92.8,简装,76.68㎡,未知年建
金牛,东南,无,高楼层 (共7层),106105257284,2室1厅,64,简装,58.98㎡,未知年建
龙泉驿,南 北,有,高楼层 (共32层),106105202429,4室2厅,240,精装,128㎡,未知年建
新津,南,有,高楼层 (共15层),106105203508,3室3厅,100,简装,94㎡,未知年建
金牛,北,有,中楼层 (共16层),106105255019,2室1厅,83,精装,62.04㎡,2011年建
青羊,西南,有,高楼层 (共16层),106105171717,4室2厅,500,精装,157.8㎡,2013年建
郫都,东南,有,高楼层 (共25层),106105203263,3室1厅,110,精装,99.74㎡,2013年建
新都,北,有,高楼层 (共26层),106105254913,2室1厅,85,简装,73.71㎡,2008年建
龙泉驿,东南,有,高楼层 (共33层),106105161307,3室2厅,115,精装,106.4㎡,2016年建
成华,东南,有,中楼层 (共32层),106105202841,3室2厅,158,精装,78.92㎡,2017年建
青羊,西南 东北,无,中楼层 (共7层),106105249145,2室1厅,224,简装,86.34㎡,1997年建
龙泉驿,东南,有,中楼层 (共26层),106105151444,3室1厅,106,简装,104.69㎡,2006年建
温江,南,有,低楼层 (共9层),106105201448,4室1厅,223,精装,141.1㎡,2015年建
锦江,东,无,低楼层 (共3层),106105247672,1室0厅,49.5,毛坯,17.79㎡,1980年建
温江,东南,有,高楼层 (共32层),106105246042,2室1厅,109,精装,89.91㎡,2016年建
成华,南,有,高楼层 (共34层),106105135188,3室2厅,142,精装,83.54㎡,未知年建
高新,西南,有,低楼层 (共45层),106105201137,4室2厅,460,毛坯,149㎡,2017年建
锦江,西南,无,高楼层 (共7层),106105245853,2室2厅,96,简装,67.38㎡,2002年建
武侯,西南 东北,无,高楼层 (共7层),106104954598,3室2厅,104,简装,84.93㎡,2003年建
高新西,东南,有,高楼层 (共18层),106105200771,3室2厅,170,毛坯,88.32㎡,2015年建
温江,西南,有,中楼层 (共33层),106105244924,2室2厅,105,精装,79.32㎡,2015年建
武侯,东南,有,高楼层 (共11层),106104938920,2室1厅,170,精装,74.66㎡,2012年建
双流,南 北,有,低楼层 (共18层),106105198606,3室2厅,127,精装,79.62㎡,2015年建
金牛,东南,有,中楼层 (共33层),106105244859,2室1厅,150,精装,81.18㎡,2008年建
锦江,东南,有,高楼层 (共29层),106104936319,3室2厅,280,简装,136.02㎡,2000年建
高新,东南,无,高楼层 (共7层),106105197124,3室2厅,156,精装,104.72㎡,2000年建
锦江,东南,有,高楼层 (共41层),106104917153,3室1厅,216,精装,105.87㎡,2009年建
新都,西,有,高楼层 (共24层),106105195517,3室2厅,105,毛坯,91.94㎡,未知年建
青羊,西北,有,中楼层 (共9层),106105242444,1室1厅,135,简装,66㎡,2010年建
双流,南,有,中楼层 (共15层),106105241709,2室1厅,122,精装,82.03㎡,2014年建
武侯,南,有,高楼层 (共17层),106104909226,4室2厅,265,精装,125.07㎡,2013年建
青羊,西南,有,低楼层 (共15层),106105195452,3室2厅,156,精装,129.31㎡,未知年建
成华,西,有,低楼层 (共33层),106105240110,2室1厅,119,精装,66.93㎡,2008年建
青羊,东南,无,高楼层 (共7层),106104882499,3室1厅,85,简装,80.29㎡,2000年建
双流,东,有,低楼层 (共14层),106105236063,2室1厅,84,简装,72.1㎡,2009年建
郫都,东南,有,低楼层 (共34层),106104846726,3室2厅,150,精装,77.93㎡,2013年建
郫都,东南,有,低楼层 (共28层),106104801754,5室2厅,230,精装,156.9㎡,2013年建
双流,南,有,高楼层 (共16层),106105270997,3室1厅,125,简装,100.18㎡,2013年建
新都,南,有,中楼层 (共26层),106105232623,2室2厅,69.8,毛坯,78㎡,未知年建
武侯,南 东南,有,低楼层 (共13层),106104796910,3室2厅,183,精装,102.62㎡,2006年建
双流,东,有,高楼层 (共17层),106105270253,3室2厅,155,精装,99.39㎡,2016年建
青羊,东,有,中楼层 (共11层),106105232496,1室1厅,71,简装,57.58㎡,2009年建
武侯,北,有,中楼层 (共17层),106104783681,3室2厅,185,精装,89㎡,2016年建
成华,西北,有,低楼层 (共33层),106105259838,3室1厅,155,毛坯,92.48㎡,2008年建
双流,东南,有,低楼层 (共23层),106105228496,2室1厅,98,精装,69.34㎡,2009年建
郫都,东南,有,高楼层 (共26层),106104777419,3室1厅,115,精装,78.29㎡,2013年建
都江堰,南,无,低楼层 (共6层),106105258569,3室1厅,64.5,简装,99.9㎡,未知年建
高新,东北,有,低楼层 (共11层),106104724111,2室1厅,148.2,精装,90.18㎡,2005年建
双流,南,无,中楼层 (共6层),106105257765,3室1厅,113,精装,97.28㎡,2007年建
金牛,东,无,低楼层 (共6层),106105225491,3室1厅,63,简装,57.59㎡,未知年建
成华,东,有,低楼层 (共26层),106104705494,3室2厅,147,精装,90.03㎡,2015年建
龙泉驿,南,无,高楼层 (共6层),106105253482,2室2厅,75,简装,82.02㎡,2000年建
郫都,西南,有,低楼层 (共34层),106104636282,3室1厅,130,精装,79.07㎡,2013年建
双流,东北,有,中楼层 (共34层),106105249423,3室2厅,142,精装,80.95㎡,2016年建
金堂,南,暂无数据,中楼层 (共6层),106105245714,3室2厅,59,精装,115.61㎡,未知年建
武侯,西南,有,高楼层 (共11层),106104595001,3室1厅,105,简装,82.99㎡,2006年建
双流,东南,有,中楼层 (共26层),106105245463,3室1厅,198,精装,107.21㎡,2018年建
金牛,东北,有,高楼层 (共19层),106104551452,3室2厅,132,精装,77.38㎡,2015年建
郫都,西南,有,高楼层 (共31层),106105243549,2室1厅,80,精装,73㎡,2013年建
成华,西北,有,中楼层 (共32层),106104498016,4室2厅,169,精装,93.34㎡,2015年建
青白江,东,有,中楼层 (共17层),106105243253,3室1厅,67,精装,90㎡,2010年建
青羊,东南 西北,无,高楼层 (共7层),106104430062,3室2厅,145,简装,119.02㎡,1995年建
青羊,南,无,低楼层 (共6层),106105240260,3室2厅,239,精装,109.39㎡,2004年建
成华,西,有,中楼层 (共28层),106104379459,3室2厅,185,精装,107.92㎡,2015年建
武侯,东,有,中楼层 (共11层),106105236581,2室1厅,80,简装,63.9㎡,2004年建
高新,东南,有,高楼层 (共13层),106104248060,3室2厅,275,精装,164.46㎡,2004年建
青羊,西南,无,中楼层 (共5层),106105236040,1室1厅,66,简装,40㎡,1965年建
武侯,东南,有,高楼层 (共16层),106104242123,3室2厅,228,精装,98.49㎡,2011年建
双流,南 北,有,低楼层 (共32层),106105235397,3室2厅,150,精装,65.83㎡,2016年建
武侯,西南,有,中楼层 (共18层),106104166534,3室2厅,162.7,精装,124.07㎡,2008年建
金牛,南,无,中楼层 (共7层),106105234590,2室2厅,94,精装,91.88㎡,未知年建
郫都,西南,有,中楼层 (共25层),106104085222,3室2厅,114.5,精装,96.72㎡,2015年建
双流,南,有,高楼层 (共14层),106105232686,2室1厅,100,精装,84.18㎡,2015年建
成华,南 东,有,高楼层 (共18层),106105229827,3室2厅,125,简装,86.06㎡,2012年建
武侯,东 东南,无,高楼层 (共6层),106104060995,4室3厅,208,精装,153.3㎡,2000年建
郫都,西南,有,中楼层 (共21层),106105229404,3室2厅,90,简装,74.4㎡,未知年建
金牛,南,有,中楼层 (共18层),106105227318,3室2厅,180,毛坯,107㎡,2011年建
武侯,东,有,高楼层 (共11层),106105224654,1室1厅,62,毛坯,50.8㎡,2009年建
新都,东,有,中楼层 (共32层),106105224511,3室1厅,115,精装,89.5㎡,2013年建
青羊,南,暂无数据,中楼层 (共5层),106105221273,5室2厅,320,简装,168.41㎡,未知年建
温江,西北,有,低楼层 (共32层),106105216425,3室1厅,135,精装,108.76㎡,2009年建
郫都,东南,有,低楼层 (共15层),106104334444,2室1厅,87,简装,85.57㎡,2010年建
龙泉驿,西南,有,高楼层 (共34层),106105214773,3室2厅,149,精装,86.97㎡,2012年建
青羊,北,有,中楼层 (共18层),106104315829,2室1厅,120,精装,55.53㎡,2014年建
双流,南,有,中楼层 (共17层),106105214522,3室2厅,102,精装,68.43㎡,2016年建
锦江,南 西南,有,中楼层 (共28层),106104295900,2室2厅,258,精装,83.51㎡,2015年建
成华,南 北,无,中楼层 (共7层),106105211888,3室1厅,89.6,简装,68.94㎡,1994年建
青羊,东,有,高楼层 (共26层),106104272397,2室1厅,114,精装,72.75㎡,2010年建
新都,东南 南,有,中楼层 (共29层),106105211067,3室2厅,145,精装,107.58㎡,未知年建
青羊,北,有,高楼层 (共18层),106104214505,2室1厅,105,简装,48.2㎡,2011年建
金牛,东南,有,高楼层 (共15层),106105209617,1室1厅,58,简装,48.24㎡,未知年建
锦江,南,有,低楼层 (共34层),106104132515,2室1厅,154,简装,90.15㎡,2011年建
双流,南 北,有,高楼层 (共26层),106104118929,3室1厅,119,简装,88㎡,2012年建
锦江,南,有,高楼层 (共32层),106104115704,1室2厅,143,精装,56.32㎡,2011年建
青羊,西北,有,低楼层 (共40层),106104074983,1室1厅,72,简装,38.96㎡,2006年建
青羊,东南,有,中楼层 (共25层),106103993760,2室1厅,92,精装,62.9㎡,2010年建
高新,东,有,低楼层 (共22层),106103807133,2室2厅,199,精装,86.66㎡,2014年建
青羊,南 北,有,低楼层 (共9层),106103760570,2室1厅,105,精装,77.65㎡,2003年建
金牛,西南,有,中楼层 (共17层),106103749519,2室1厅,156,简装,83.01㎡,2009年建
成华,东南,有,中楼层 (共53层),106103731466,2室1厅,92,精装,80.54㎡,2015年建
锦江,西北,有,高楼层 (共33层),106103425747,2室1厅,198.8,简装,84.09㎡,2009年建
青羊,南,有,中楼层 (共10层),106103334816,2室1厅,92,简装,47㎡,2003年建
锦江,西北,有,中楼层 (共11层),106104941129,2室1厅,86,简装,46.9㎡,2006年建
郫都,西南,有,高楼层 (共34层),106103074228,3室1厅,130,毛坯,79.16㎡,2013年建
青羊,西,无,高楼层 (共7层),106104929200,2室2厅,139.8,简装,94.23㎡,1998年建
青羊,北,有,中楼层 (共26层),106103041297,1室1厅,87,精装,60.03㎡,2010年建
武侯,东南,有,中楼层 (共11层),106104923211,2室2厅,137,简装,90.38㎡,2003年建
新都,东,有,高楼层 (共27层),106101878072,2室1厅,83,简装,89.17㎡,2013年建
锦江,东南,有,高楼层 (共31层),106104883140,2室1厅,137,精装,84.34㎡,2011年建
温江,西南,有,高楼层 (共33层),106101079595,2室2厅,101,精装,74.5㎡,2012年建
