区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
彭州,南,有,低楼层 (共18层),106105032980,2室2厅,99,精装,78.92㎡,未知年建
成华,东南,有,低楼层 (共34层),106105123451,3室1厅,122,精装,71.25㎡,2015年建
青羊,东南,无,低楼层 (共3层),106104968469,5室2厅,588,精装,215.87㎡,未知年建
金牛,南,有,低楼层 (共11层),106105053297,2室1厅,132,简装,99.32㎡,2005年建
龙泉驿,西南,有,低楼层 (共18层),106105123043,3室1厅,142,精装,87.39㎡,2014年建
金牛,东 东南,有,低楼层 (共34层),106102454769,2室2厅,96,简装,84.49㎡,2009年建
武侯,南,无,低楼层 (共7层),106104944566,3室2厅,100,简装,95.54㎡,1998年建
新都,南 北,无,低楼层 (共6层),106105053042,3室2厅,100,简装,121.2㎡,2007年建
锦江,东,有,高楼层 (共34层),106100864502,1室1厅,105,简装,54㎡,2009年建
龙泉驿,东北,有,高楼层 (共26层),106105118901,3室1厅,198,精装,117.61㎡,2015年建
金牛,东南,有,高楼层 (共18层),106105046295,3室2厅,218,精装,137.68㎡,2008年建
郫都,西北,有,高楼层 (共18层),106105240995,3室2厅,148,精装,119.93㎡,2011年建
成华,南,有,低楼层 (共8层),106104829668,3室2厅,389,精装,135.64㎡,2013年建
新都,南,有,低楼层 (共32层),106105116967,3室2厅,103,精装,74.78㎡,未知年建
青羊,东北,有,中楼层 (共18层),106105039358,3室1厅,196,精装,138.61㎡,2005年建
郫都,西南,有,低楼层 (共25层),106105131163,4室1厅,143,毛坯,161.02㎡,2016年建
郫都,东南 西南,有,低楼层 (共12层),106105113962,2室1厅,110,精装,87.53㎡,2011年建
青羊,东,有,中楼层 (共26层),106105039145,3室1厅,135,精装,89㎡,2010年建
锦江,东南,有,中楼层 (共28层),106105111984,3室1厅,282,精装,133.31㎡,2012年建
高新,南 北,有,高楼层 (共34层),106105038916,3室2厅,165.5,精装,95.68㎡,2011年建
郫都,东南,有,低楼层 (共18层),106105126942,3室2厅,112,毛坯,119.5㎡,2016年建
龙泉驿,南 西南,有,高楼层 (共32层),106105110508,2室1厅,124,精装,89.99㎡,2012年建
成华,东,有,中楼层 (共18层),106105038914,3室2厅,195,精装,116.41㎡,2008年建
高新,西,有,高楼层 (共34层),106105110419,3室2厅,175,精装,86.32㎡,2014年建
武侯,东,有,高楼层 (共15层),106105125104,3室2厅,226,精装,98㎡,2011年建
成华,南,有,中楼层 (共20层),106105035390,3室1厅,186,简装,91.61㎡,2014年建
龙泉驿,东南,有,低楼层 (共18层),106105106540,2室2厅,89,精装,82.34㎡,2008年建
武侯,东,无,低楼层 (共7层),106105123198,3室1厅,128,精装,111.91㎡,1996年建
武侯,西,无,高楼层 (共7层),106105121118,3室1厅,124,精装,82㎡,1996年建
武侯,东南,无,中楼层 (共7层),106105029504,2室1厅,83.6,精装,79.44㎡,2000年建
郫都,西南,有,高楼层 (共29层),106105104761,3室2厅,129,精装,89.25㎡,2014年建
温江,东南 南,有,中楼层 (共33层),106105028943,2室1厅,102,精装,81.67㎡,2016年建
成华,北,有,高楼层 (共26层),106105101354,2室1厅,108,精装,65.52㎡,未知年建
锦江,东南,无,中楼层 (共7层),106105104850,3室1厅,98,简装,72.76㎡,1994年建
金牛,西,有,低楼层 (共21层),106105019770,1室1厅,78,精装,48㎡,2009年建
成华,南,有,高楼层 (共34层),106105099814,3室2厅,149,精装,81.89㎡,2011年建
武侯,东南,有,中楼层 (共16层),106105096848,3室2厅,165,精装,81.59㎡,未知年建
成华,南,有,低楼层 (共18层),106105016545,3室1厅,125,简装,86.55㎡,2008年建
